question,answer,text
What is the name of Harry's owl?,Hedwig,<s>[INST] What is the name of Harry's owl? [/INST] Hedwig </s>
How many players are on a quidditch team?,7,<s>[INST] How many players are on a quidditch team? [/INST] 7 </s>
"In 1876, which caretaker tried to make Peeves leave Hogwarts?",Rancorous Carpe,"<s>[INST] In 1876, which caretaker tried to make Peeves leave Hogwarts? [/INST] Rancorous Carpe </s>"
Fanged Geraniums are most notable for what?,Their Fangs,<s>[INST] Fanged Geraniums are most notable for what? [/INST] Their Fangs </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
From what event do we measure the age of the universe?,The Big Bang.,<s>[INST] From what event do we measure the age of the universe? [/INST] The Big Bang. </s>
Who does Bill Weasley marry?,Fleur Delacour,<s>[INST] Who does Bill Weasley marry? [/INST] Fleur Delacour </s>
Who is the Slytherin ghost?,The Bloody Baron,<s>[INST] Who is the Slytherin ghost? [/INST] The Bloody Baron </s>
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,<s>[INST] What is required in the manoeuvre Taking Passengers? [/INST] Complete cooperation. </s>
What is the name of the wizarding prison in the Harry Potter series?,Azkaban,<s>[INST] What is the name of the wizarding prison in the Harry Potter series? [/INST] Azkaban </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,<s>[INST] What is required in the manoeuvre Taking Passengers? [/INST] Complete cooperation. </s>
Who is Hufflepuff's patron ghost?,Fat Friar,<s>[INST] Who is Hufflepuff's patron ghost? [/INST] Fat Friar </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school?,Seven,<s>[INST] How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school? [/INST] Seven </s>
How is mail delivered in the wizarding world?,By owl post.,<s>[INST] How is mail delivered in the wizarding world? [/INST] By owl post. </s>
What is Madam Hooch's second job?,Quiddich Referee,<s>[INST] What is Madam Hooch's second job? [/INST] Quiddich Referee </s>
What is a spell used to mend broken objects?,Reparo,<s>[INST] What is a spell used to mend broken objects? [/INST] Reparo </s>
What is the term for a witch or wizard who can see the future?,Seer,<s>[INST] What is the term for a witch or wizard who can see the future? [/INST] Seer </s>
"Who do you prefer: Dust, Binns, or Peeves?",Peeves!,"<s>[INST] Who do you prefer: Dust, Binns, or Peeves? [/INST] Peeves! </s>"
Who is the professor of Transfiguration class?,McGonagall,<s>[INST] Who is the professor of Transfiguration class? [/INST] McGonagall </s>
What is Professor Minerva McGonagall's animagus?,A cat.,<s>[INST] What is Professor Minerva McGonagall's animagus? [/INST] A cat. </s>
Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw,<s>[INST] Which one of the following is not a founder of Hogwarts? [/INST] Helena Ravenclaw </s>
How many players are on a quidditch team?,7,<s>[INST] How many players are on a quidditch team? [/INST] 7 </s>
What potion gives good luck to those who drink it?,Felix Felicis,<s>[INST] What potion gives good luck to those who drink it? [/INST] Felix Felicis </s>
Who sent Harry his Firebolt?,Sirius Black,<s>[INST] Who sent Harry his Firebolt? [/INST] Sirius Black </s>
"In our second year, where did you sneak into using a Shrinking Charm?",A Common Room,"<s>[INST] In our second year, where did you sneak into using a Shrinking Charm? [/INST] A Common Room </s>"
Which charm did we end in class by using Finite Incantatem?,Wand-lighting,<s>[INST] Which charm did we end in class by using Finite Incantatem? [/INST] Wand-lighting </s>
Harry was raised by his mother’s sister. What was his aunt named?,Petunia,<s>[INST] Harry was raised by his mother’s sister. What was his aunt named? [/INST] Petunia </s>
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"<s>[INST] According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions. [/INST] Long hair </s>"
True or false: This is the longest movie in the franchise.,"False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes.","<s>[INST] True or false: This is the longest movie in the franchise. [/INST] False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes. </s>"
Dittany is used primarily for what purpose?,Healing,<s>[INST] Dittany is used primarily for what purpose? [/INST] Healing </s>
What is the magical equipment store in Hogsmeade?,Dervish and Banges,<s>[INST] What is the magical equipment store in Hogsmeade? [/INST] Dervish and Banges </s>
What boil-inducing ingredient can create an explosive reaction when added to a Cure for Boils?,Bulbadox Powder,<s>[INST] What boil-inducing ingredient can create an explosive reaction when added to a Cure for Boils? [/INST] Bulbadox Powder </s>
What is Luna Lovegood’s father’s name?,Xenophilius Lovegood,<s>[INST] What is Luna Lovegood’s father’s name? [/INST] Xenophilius Lovegood </s>
What was the name of the company Vernon Dursley worked for?,Grunnings,<s>[INST] What was the name of the company Vernon Dursley worked for? [/INST] Grunnings </s>
Which books details the history of Quidditch?,Quidditch Through the Ages,<s>[INST] Which books details the history of Quidditch? [/INST] Quidditch Through the Ages </s>
"Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what?",The London Underground.,"<s>[INST] Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what? [/INST] The London Underground. </s>"
Who loses an ear at the start of the book?,George Weasley,<s>[INST] Who loses an ear at the start of the book? [/INST] George Weasley </s>
Professor Sprout is the head of which Hogwarts house?,Hufflepuff,<s>[INST] Professor Sprout is the head of which Hogwarts house? [/INST] Hufflepuff </s>
Dark matter and dark energy make up what percentage of our universe?,95%.,<s>[INST] Dark matter and dark energy make up what percentage of our universe? [/INST] 95%. </s>
Why would you need to switch brooms midair?,Broom failure,<s>[INST] Why would you need to switch brooms midair? [/INST] Broom failure </s>
Which ghost haunts the second-floor girls' bathroom in Hogwarts?,Moaning Myrtle,<s>[INST] Which ghost haunts the second-floor girls' bathroom in Hogwarts? [/INST] Moaning Myrtle </s>
What piece of equipment is essential when re-potting baby Mandrakes?,Earmuffs,<s>[INST] What piece of equipment is essential when re-potting baby Mandrakes? [/INST] Earmuffs </s>
What type of cauldron do first-year students need?,Pewter,<s>[INST] What type of cauldron do first-year students need? [/INST] Pewter </s>
Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets?,Ginny Weasley,<s>[INST] Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets? [/INST] Ginny Weasley </s>
What is Lockhart's favorite color?,Lilac,<s>[INST] What is Lockhart's favorite color? [/INST] Lilac </s>
What is James Potter's Marauder nickname?,Prongs,<s>[INST] What is James Potter's Marauder nickname? [/INST] Prongs </s>
Where is the Hall of Prophecy?,Ministry of Magic,<s>[INST] Where is the Hall of Prophecy? [/INST] Ministry of Magic </s>
What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape,<s>[INST] What distinguishes Chameleon Ghouls from ordinary ghouls? [/INST] Their ability to change shape </s>
Which of these books covers ancient runes?,Spellman's Syllabery,<s>[INST] Which of these books covers ancient runes? [/INST] Spellman's Syllabery </s>
Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book?,Fluffy,<s>[INST] Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book? [/INST] Fluffy </s>
How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration?,Five,<s>[INST] How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration? [/INST] Five </s>
What part of a Mandrake is potentially fatal?,Its scream,<s>[INST] What part of a Mandrake is potentially fatal? [/INST] Its scream </s>
What type of ball attempts to hit players?,Bludger,<s>[INST] What type of ball attempts to hit players? [/INST] Bludger </s>
What should you avoid getting in your eyes while flying?,Insects,<s>[INST] What should you avoid getting in your eyes while flying? [/INST] Insects </s>
Who is Slytherin's patron ghost?,Bloody Baron,<s>[INST] Who is Slytherin's patron ghost? [/INST] Bloody Baron </s>
What is the incantation for the Exploding Charm?,Bombarda,<s>[INST] What is the incantation for the Exploding Charm? [/INST] Bombarda </s>
Where are flying lessons held?,Training Grounds,<s>[INST] Where are flying lessons held? [/INST] Training Grounds </s>
An intended transformation is directly influenced by which of the following?,Concentration,<s>[INST] An intended transformation is directly influenced by which of the following? [/INST] Concentration </s>
What does the Stretching Jinx do?,Causes the target to stretch,<s>[INST] What does the Stretching Jinx do? [/INST] Causes the target to stretch </s>
What is the name of the magical object that allows the user to become invisible?,The Cloak of Invisibility,<s>[INST] What is the name of the magical object that allows the user to become invisible? [/INST] The Cloak of Invisibility </s>
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"<s>[INST] According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions. [/INST] Long hair </s>"
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,<s>[INST] Where is the British and Irish Quidditch League Headquarters located? [/INST] The Ministry of Magic </s>
What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch,<s>[INST] What is the name of the game played on broomsticks in the Harry Potter series? [/INST] Quidditch </s>
Wich of these creatures is notable proud and easy to offend if not treated politely?,Hippogriff,<s>[INST] Wich of these creatures is notable proud and easy to offend if not treated politely? [/INST] Hippogriff </s>
Starfish and Stick is a tactic used by what Quidditch position?,Keeper,<s>[INST] Starfish and Stick is a tactic used by what Quidditch position? [/INST] Keeper </s>
Which of these tasks can not be aided by a Vanishing Spell?,Dancing,<s>[INST] Which of these tasks can not be aided by a Vanishing Spell? [/INST] Dancing </s>
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart,"<s>[INST] What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters? [/INST] A Boggart </s>"
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,<s>[INST] What item in the Headmaster's Office allows you to review bottled memories? [/INST] The Pensieve </s>
Do you know what kind of creature a Boggart is?,Non-being,<s>[INST] Do you know what kind of creature a Boggart is? [/INST] Non-being </s>
Why would you need to switch brooms midair?,Broom failure,<s>[INST] Why would you need to switch brooms midair? [/INST] Broom failure </s>
What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch,<s>[INST] What is the name of the Hogwarts caretaker who is always complaining about the students? [/INST] Argus Filch </s>
Why did the Werewolf Code of Conduct fail?,No Werewolves Signed,<s>[INST] Why did the Werewolf Code of Conduct fail? [/INST] No Werewolves Signed </s>
You should cover your ears when this mature plant starts crying. Name that plant!,Mandrake,<s>[INST] You should cover your ears when this mature plant starts crying. Name that plant! [/INST] Mandrake </s>
What are fluxweed and Boomslang skin used for?,Polyjuice,<s>[INST] What are fluxweed and Boomslang skin used for? [/INST] Polyjuice </s>
Who invented the Snitch in the Harry Potter series?,Bowman Wright,<s>[INST] Who invented the Snitch in the Harry Potter series? [/INST] Bowman Wright </s>
Who invented the Cheering Charm?,Felix Summerbee,<s>[INST] Who invented the Cheering Charm? [/INST] Felix Summerbee </s>
"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5.","<s>[INST] Who was Harry's first kiss, and in what book? [/INST] Cho Chang, Book 5. </s>"
What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage,<s>[INST] What was the name of the orphanage where Lord Voldemort grew up? [/INST] Wool's Orphanage </s>
What was the primary reason for the creation of the International Statute of Wizarding Secrecy?,Persecution by Muggles,<s>[INST] What was the primary reason for the creation of the International Statute of Wizarding Secrecy? [/INST] Persecution by Muggles </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
What magical creature runs guards wand wood trees?,Bowtruckles,<s>[INST] What magical creature runs guards wand wood trees? [/INST] Bowtruckles </s>
What kind of spell is Flipendo?,Jinx,<s>[INST] What kind of spell is Flipendo? [/INST] Jinx </s>
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!).","<s>[INST] What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him? [/INST] He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!). </s>"
Name the three different types of balls used in Quidditch.,"Quaffle, Bludger, Snitch.","<s>[INST] Name the three different types of balls used in Quidditch. [/INST] Quaffle, Bludger, Snitch. </s>"
What magical plant resembles a withered tree stump?,Snargaluff,<s>[INST] What magical plant resembles a withered tree stump? [/INST] Snargaluff </s>
How many points is a goal worth?,Ten,<s>[INST] How many points is a goal worth? [/INST] Ten </s>
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
What is the name of the Gryffindor ghost?,Nearly Headless Nick.,<s>[INST] What is the name of the Gryffindor ghost? [/INST] Nearly Headless Nick. </s>
Which character in the Harry Potter series is known for wearing radish earrings?,Luna Lovegood,<s>[INST] Which character in the Harry Potter series is known for wearing radish earrings? [/INST] Luna Lovegood </s>
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”,<s>[INST] The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean? [/INST] “Never tickle a sleeping dragon.” </s>
What's your favorite part of History of Magic?,Your impressions.,<s>[INST] What's your favorite part of History of Magic? [/INST] Your impressions. </s>
Who is Ravenclaw's patron ghost?,The Grey Lady,<s>[INST] Who is Ravenclaw's patron ghost? [/INST] The Grey Lady </s>
What is Hagrid’s half-brother’s name?,Grawp,<s>[INST] What is Hagrid’s half-brother’s name? [/INST] Grawp </s>
What color is Teddy Lupin's hair when he is born?,Black,<s>[INST] What color is Teddy Lupin's hair when he is born? [/INST] Black </s>
The Bouncy Bulb is extremely difficult to...,Pot.,<s>[INST] The Bouncy Bulb is extremely difficult to... [/INST] Pot. </s>
Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,<s>[INST] Which of the following books was not written by Rita Skeeter? [/INST] Easy Spells to fool Muggles </s>
Which statement is true about conjured objects?,They vanish in time,<s>[INST] Which statement is true about conjured objects? [/INST] They vanish in time </s>
What charm creates water?,Aguamenti,<s>[INST] What charm creates water? [/INST] Aguamenti </s>
What magical sport is popular in North America?,Quodpot,<s>[INST] What magical sport is popular in North America? [/INST] Quodpot </s>
Who is the conductor of the Frog Choir?,Filius Flitwick,<s>[INST] Who is the conductor of the Frog Choir? [/INST] Filius Flitwick </s>
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,<s>[INST] Which of the following is a side effect of Wiggenweld Potion? [/INST] Healing injuries </s>
What position does Harry play in Quidditch?,Seeker,<s>[INST] What position does Harry play in Quidditch? [/INST] Seeker </s>
What are the two pubs in Hogsmeade called?,The Three Broomsticks and The Hog's Head.,<s>[INST] What are the two pubs in Hogsmeade called? [/INST] The Three Broomsticks and The Hog's Head. </s>
"What is the counter spell for Accio, Summoning Charm?",Depulso,"<s>[INST] What is the counter spell for Accio, Summoning Charm? [/INST] Depulso </s>"
What is the name of Hagrid's pet dragon?,Norbert,<s>[INST] What is the name of Hagrid's pet dragon? [/INST] Norbert </s>
New students need to learn the secrets of the castle. How many staircases does Hogwarts have?,142.,<s>[INST] New students need to learn the secrets of the castle. How many staircases does Hogwarts have? [/INST] 142. </s>
"Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house?",With a flying car,"<s>[INST] Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house? [/INST] With a flying car </s>"
Where does the Sopophorous Plant grow?,Gloomy marshlands.,<s>[INST] Where does the Sopophorous Plant grow? [/INST] Gloomy marshlands. </s>
"Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death?",Lady Grieve,"<s>[INST] Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death? [/INST] Lady Grieve </s>"
What is another word for antidote?,Cure (I got this in the Antidote to Common Potions lesson),<s>[INST] What is another word for antidote? [/INST] Cure (I got this in the Antidote to Common Potions lesson) </s>
Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,<s>[INST] Which of these is an ingredient in Polyjuice Potion? [/INST] Powdered Bicorn Horn </s>
What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)","<s>[INST] What animal is Dolores Umbridge obsessed with? [/INST] Cats (specifically, kittens) </s>"
What is the incantation for a Confundus charm?,Confundo,<s>[INST] What is the incantation for a Confundus charm? [/INST] Confundo </s>
Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,<s>[INST] Which of these is a Wiggenweld potion ingredient from the sea? [/INST] Lionfish Spine </s>
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,<s>[INST] What is required in the manoeuvre Taking Passengers? [/INST] Complete cooperation. </s>
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.,<s>[INST] What is the name of the Weasley twins' magical joke shop? [/INST] Weasleys' Wizard Wheezes. </s>
Some curses are even capable of doing what?,Spanning generations,<s>[INST] Some curses are even capable of doing what? [/INST] Spanning generations </s>
"In the Chamber of Secrets, where does Harry discover the entrance to the Chamber?",Myrtle's bathroom,"<s>[INST] In the Chamber of Secrets, where does Harry discover the entrance to the Chamber? [/INST] Myrtle's bathroom </s>"
Who did Professor Lupin marry?,Nyphadora Tonks,<s>[INST] Who did Professor Lupin marry? [/INST] Nyphadora Tonks </s>
Which Quidditch ball is the biggest?,Quaffle,<s>[INST] Which Quidditch ball is the biggest? [/INST] Quaffle </s>
Who killed Emeric the Evil in a duel?,Egbert the Egregious,<s>[INST] Who killed Emeric the Evil in a duel? [/INST] Egbert the Egregious </s>
What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts?,Grindylow,<s>[INST] What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts? [/INST] Grindylow </s>
Which Minister of Magic resigned following the goblin rebellion of 1752?,Albert Boot,<s>[INST] Which Minister of Magic resigned following the goblin rebellion of 1752? [/INST] Albert Boot </s>
What is the incantation for the Tongue-Tying Curse?,Mimblewimble,<s>[INST] What is the incantation for the Tongue-Tying Curse? [/INST] Mimblewimble </s>
What is the name of the street where the Dursleys live?,Privet Drive,<s>[INST] What is the name of the street where the Dursleys live? [/INST] Privet Drive </s>
"When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office?",Hermione,"<s>[INST] When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office? [/INST] Hermione </s>"
Which potion causes the drinker to speak nonsense?,Babbling Beverage,<s>[INST] Which potion causes the drinker to speak nonsense? [/INST] Babbling Beverage </s>
"What does Uncle Vernon’s sister, Marge Dursley, do for a living?",Breeds bulldogs,"<s>[INST] What does Uncle Vernon’s sister, Marge Dursley, do for a living? [/INST] Breeds bulldogs </s>"
What charm creates water?,Aguamenti,<s>[INST] What charm creates water? [/INST] Aguamenti </s>
Which Quidditch team is last in the league?,Chudley Cannons,<s>[INST] Which Quidditch team is last in the league? [/INST] Chudley Cannons </s>
How many Deathly Hallows did Albus Dumbledore possess?,Three,<s>[INST] How many Deathly Hallows did Albus Dumbledore possess? [/INST] Three </s>
What year was the first match?,1050 AD,<s>[INST] What year was the first match? [/INST] 1050 AD </s>
What is another name for the Alihotsy tree?,The hyena tree.,<s>[INST] What is another name for the Alihotsy tree? [/INST] The hyena tree. </s>
What was Harry Potter's middle name?,James,<s>[INST] What was Harry Potter's middle name? [/INST] James </s>
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,<s>[INST] What is required in the manoeuvre Taking Passengers? [/INST] Complete cooperation. </s>
A Nimbus is a type of what?,Broom,<s>[INST] A Nimbus is a type of what? [/INST] Broom </s>
Which books details the history of Quidditch?,Quidditch Through the Ages,<s>[INST] Which books details the history of Quidditch? [/INST] Quidditch Through the Ages </s>
What was Elfric the Eager responsible for?,An uprising.,<s>[INST] What was Elfric the Eager responsible for? [/INST] An uprising. </s>
Which Quidditch ball is the biggest?,Quaffle,<s>[INST] Which Quidditch ball is the biggest? [/INST] Quaffle </s>
Which of the plants is prone to slapping people in the face?,Bouncing Bulbs,<s>[INST] Which of the plants is prone to slapping people in the face? [/INST] Bouncing Bulbs </s>
The charm Descendo can make a targeted object do what?,Lower,<s>[INST] The charm Descendo can make a targeted object do what? [/INST] Lower </s>
And how does Parvati defeat it?,"In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary).","<s>[INST] And how does Parvati defeat it? [/INST] In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary). </s>"
Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army?,The Hog's Head,<s>[INST] Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army? [/INST] The Hog's Head </s>
How is Bellatrix related to Tonks?,Tonks is Bellatrix's niece.,<s>[INST] How is Bellatrix related to Tonks? [/INST] Tonks is Bellatrix's niece. </s>
How many players are on a quidditch team?,7,<s>[INST] How many players are on a quidditch team? [/INST] 7 </s>
Where do monks grow gravity-resistant trees?,Nepal,<s>[INST] Where do monks grow gravity-resistant trees? [/INST] Nepal </s>
What is the brand of magic that deals with altering the form or appearance of an object?,Transfiguration,<s>[INST] What is the brand of magic that deals with altering the form or appearance of an object? [/INST] Transfiguration </s>
"In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature?",Cat ears,"<s>[INST] In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature? [/INST] Cat ears </s>"
What is Wronski Feint?,Pretending to dive for the Snitch.,<s>[INST] What is Wronski Feint? [/INST] Pretending to dive for the Snitch. </s>
Who wrote Unfogging the Future?,Cassandra Vablatsky,<s>[INST] Who wrote Unfogging the Future? [/INST] Cassandra Vablatsky </s>
Who was expelled from Hufflepuff House?,Newt Scamander,<s>[INST] Who was expelled from Hufflepuff House? [/INST] Newt Scamander </s>
"This one is a two-parter. Where does Vernon Dursley work, and what does the company produce?","Grunnings, a drill manufacturer.","<s>[INST] This one is a two-parter. Where does Vernon Dursley work, and what does the company produce? [/INST] Grunnings, a drill manufacturer. </s>"
Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion,<s>[INST] Which of the following would be the easiest Transfiguration? [/INST] Porcupine to Pincushion </s>
What's the best use for the Talirek Twirl?,Evading Bludgers.,<s>[INST] What's the best use for the Talirek Twirl? [/INST] Evading Bludgers. </s>
Who wrote Magical Draughts and Potions?,Arsenius Jigger,<s>[INST] Who wrote Magical Draughts and Potions? [/INST] Arsenius Jigger </s>
Which of these is not a type of broom?,Occamy,<s>[INST] Which of these is not a type of broom? [/INST] Occamy </s>
I bet you don't know how many wizards serve on the Wizengamot!,50,<s>[INST] I bet you don't know how many wizards serve on the Wizengamot! [/INST] 50 </s>
What is Ginny's full name?,Ginevra Weasley,<s>[INST] What is Ginny's full name? [/INST] Ginevra Weasley </s>
This topic will be included on what exam?,The N.E.W.T.S.,<s>[INST] This topic will be included on what exam? [/INST] The N.E.W.T.S. </s>
What class does Professor Vector teach?,Arithmancy,<s>[INST] What class does Professor Vector teach? [/INST] Arithmancy </s>
What purpose does the Cough Potion serve?,Cures a cough,<s>[INST] What purpose does the Cough Potion serve? [/INST] Cures a cough </s>
What does solitary 'X' classification mean?,Boring,<s>[INST] What does solitary 'X' classification mean? [/INST] Boring </s>
What incantation makes an object waterproof?,Impervius,<s>[INST] What incantation makes an object waterproof? [/INST] Impervius </s>
Which of these spells would be most useful as an attack?,Engorgio,<s>[INST] Which of these spells would be most useful as an attack? [/INST] Engorgio </s>
Who is the Astronomy professor?,Professor Sinistra,<s>[INST] Who is the Astronomy professor? [/INST] Professor Sinistra </s>
What do you say to summon a broom to your hand?,Up,<s>[INST] What do you say to summon a broom to your hand? [/INST] Up </s>
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
"On what date do the Weasleys rescue Harry from number four, Privet Drive?","July 31—his birthday, of course!","<s>[INST] On what date do the Weasleys rescue Harry from number four, Privet Drive? [/INST] July 31—his birthday, of course! </s>"
What is the name of the Black family's house-elf?,Kreacher,<s>[INST] What is the name of the Black family's house-elf? [/INST] Kreacher </s>
Who is the Potions Master at Hogwarts?,Severus Snape,<s>[INST] Who is the Potions Master at Hogwarts? [/INST] Severus Snape </s>
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance?,Boris the Bewildered,<s>[INST] Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance? [/INST] Boris the Bewildered </s>
Is it safe to drink water conjured by Aguamenti?,"Yes, it's safe to drink.","<s>[INST] Is it safe to drink water conjured by Aguamenti? [/INST] Yes, it's safe to drink. </s>"
Arresto Momentum was originally developed for what purpose?,Slowing a Falling Quaffle,<s>[INST] Arresto Momentum was originally developed for what purpose? [/INST] Slowing a Falling Quaffle </s>
What was the Seeker originally called?,The Hunter,<s>[INST] What was the Seeker originally called? [/INST] The Hunter </s>
Who invented the Cheering Charm?,Felix Summerbee,<s>[INST] Who invented the Cheering Charm? [/INST] Felix Summerbee </s>
What is used in Xylomancy?,Twigs,<s>[INST] What is used in Xylomancy? [/INST] Twigs </s>
What’s the name of Hagrid’s half-brother?,Grawp,<s>[INST] What’s the name of Hagrid’s half-brother? [/INST] Grawp </s>
What is the platform at King's Cross Station where Hogwarts students catch the Hogwarts Express called?,Platform 9 ¾,<s>[INST] What is the platform at King's Cross Station where Hogwarts students catch the Hogwarts Express called? [/INST] Platform 9 ¾ </s>
When was Ollivanders founded?,382 BC,<s>[INST] When was Ollivanders founded? [/INST] 382 BC </s>
When was He Who Must Not Be Named defeated?,Halloween,<s>[INST] When was He Who Must Not Be Named defeated? [/INST] Halloween </s>
What is the name of America's magical government?,MACUSA,<s>[INST] What is the name of America's magical government? [/INST] MACUSA </s>
What are all Warlock conventions?,Important,<s>[INST] What are all Warlock conventions? [/INST] Important </s>
What does Harry name his children?,"James Sirius, Albus Severus, and Lily Luna","<s>[INST] What does Harry name his children? [/INST] James Sirius, Albus Severus, and Lily Luna </s>"
What creature is known for guarding Gringotts Bank?,Dragons,<s>[INST] What creature is known for guarding Gringotts Bank? [/INST] Dragons </s>
Which creature was used in Quidditch before being replaced by the Golden Snitch?,Golden Snidget,<s>[INST] Which creature was used in Quidditch before being replaced by the Golden Snitch? [/INST] Golden Snidget </s>
Where is the entrance to the Chamber of Secrets?,"In the second-floor girl's bathroom, also known as Moaning Myrtle's bathroom.","<s>[INST] Where is the entrance to the Chamber of Secrets? [/INST] In the second-floor girl's bathroom, also known as Moaning Myrtle's bathroom. </s>"
Which type of transfiguration is employed in this lesson?,Transformation,<s>[INST] Which type of transfiguration is employed in this lesson? [/INST] Transformation </s>
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar,"<s>[INST] In the movie, what sound does Ron make after eating a magical candy? [/INST] A lion’s roar </s>"
What color is Hagrid's umbrella?,Pink,<s>[INST] What color is Hagrid's umbrella? [/INST] Pink </s>
What does the Impediment Jinx do?,Temporarily Slows a Target,<s>[INST] What does the Impediment Jinx do? [/INST] Temporarily Slows a Target </s>
What is the Bubotuber pus used for?,Clearing up acne,<s>[INST] What is the Bubotuber pus used for? [/INST] Clearing up acne </s>
Who was the original owner of the Sorting Hat?,Godric Gryffindor,<s>[INST] Who was the original owner of the Sorting Hat? [/INST] Godric Gryffindor </s>
